Fecha,Hora,Pasos
2025.04.18 19:48:00,19:48:00,22
2025.04.18 19:49:00,19:49:00,21
2025.04.18 19:50:00,19:50:00,36
2025.04.18 19:51:00,19:51:00,39
2025.04.18 19:52:00,19:52:00,25
2025.04.18 20:14:00,20:14:00,4
2025.04.18 20:15:00,20:15:00,4
2025.04.18 20:16:00,20:16:00,4
2025.04.18 20:17:00,20:17:00,4
2025.04.18 20:18:00,20:18:00,4
2025.04.18 20:19:00,20:19:00,4
2025.04.18 20:20:00,20:20:00,4
2025.04.18 20:21:00,20:21:00,4
2025.04.18 20:22:00,20:22:00,3
2025.04.18 20:24:00,20:24:00,52
2025.04.18 20:25:00,20:25:00,53
2025.04.18 20:27:00,20:27:00,16
2025.04.18 20:37:00,20:37:00,16
2025.04.18 20:41:00,20:41:00,19
2025.04.18 20:42:00,20:42:00,26
2025.04.18 20:43:00,20:43:00,25
2025.04.18 20:44:00,20:44:00,49
2025.04.18 20:45:00,20:45:00,19
2025.04.18 20:46:00,20:46:00,4
2025.04.18 20:47:00,20:47:00,4
2025.04.18 20:48:00,20:48:00,18
2025.04.18 20:49:00,20:49:00,10
2025.04.18 20:50:00,20:50:00,3
2025.04.18 20:51:00,20:51:00,29
2025.04.18 20:52:00,20:52:00,34
2025.04.18 20:54:00,20:54:00,11
2025.04.18 21:10:00,21:10:00,11
2025.04.18 21:11:00,21:11:00,38
2025.04.18 21:17:00,21:17:00,19
2025.04.18 21:45:00,21:45:00,29
2025.04.18 21:46:00,21:46:00,13
2025.04.18 21:47:00,21:47:00,73
2025.04.18 21:48:00,21:48:00,13
2025.04.18 21:59:00,21:59:00,7
2025.04.18 22:00:00,22:00:00,23
2025.04.18 22:01:00,22:01:00,6
2025.04.18 22:03:00,22:03:00,11
2025.04.18 22:14:00,22:14:00,39
2025.04.18 22:16:00,22:16:00,32
2025.04.18 22:17:00,22:17:00,38
2025.04.18 22:38:00,22:38:00,67
2025.04.18 22:39:00,22:39:00,17
2025.04.18 22:40:00,22:40:00,4
2025.04.19 00:29:00,00:29:00,10
2025.04.19 00:49:00,00:49:00,4
2025.04.19 11:31:00,11:31:00,26
2025.04.19 11:32:00,11:32:00,40
2025.04.19 12:20:00,12:20:00,20
2025.04.19 12:21:00,12:21:00,22
2025.04.19 12:50:00,12:50:00,12
2025.04.19 12:51:00,12:51:00,29
2025.04.19 12:52:00,12:52:00,35
2025.04.19 12:58:00,12:58:00,19
2025.04.19 13:11:00,13:11:00,10
2025.04.19 13:12:00,13:12:00,17
2025.04.19 13:50:00,13:50:00,16
2025.04.19 13:51:00,13:51:00,16
2025.04.19 13:52:00,13:52:00,11
2025.04.19 13:53:00,13:53:00,32
2025.04.19 13:54:00,13:54:00,16
2025.04.19 13:55:00,13:55:00,16
2025.04.19 13:56:00,13:56:00,16
2025.04.19 13:57:00,13:57:00,16
2025.04.19 13:58:00,13:58:00,16
